1915.375	6952
1915.458	6962
1915.542	6937
1915.625	6944
1915.708	6986
1915.792	6985
1915.875	7041
1915.958	7164
1916.042	6931
1916.125	6943
1916.208	7081
1916.292	6865
1916.375	6973
1916.458	6922
1916.542	6853
1916.625	6988
1916.708	6925
1916.792	7041
1916.875	7095
1916.958	7069
1917.042	6960
1917.125	6902
1917.208	6950
1917.292	6841
1917.375	6956
1917.458	6928
1917.542	6948
1917.625	7004
1917.708	6913
1917.792	6982
1917.875	6863
1917.958	6821
1918.042	7019
1918.125	7025
1918.208	6889
1918.292	6900
1918.375	6869
1918.458	6840
1918.542	6944
1918.625	6908
1918.708	7030
1918.792	6920
1918.875	6997
1918.958	6995
1919.042	7000
1919.125	7089
1919.208	6938
1919.292	6829
1919.375	6904
1919.458	6852
1919.542	6886
1919.625	6946
1919.708	6987
1919.792	6904
1919.875	7034
1919.958	6959
1920.042	6957
1920.125	6893
1920.208	6902
1920.292	7002
1920.375	6902
1920.458	6937
1920.542	6936
1920.625	6888
1920.708	6927
1920.792	7108
1920.875	7032
1920.958	7016
1921.042	6972
1921.125	6878
1921.208	6878
1921.292	6829
1921.375	6895
1921.458	6864
1921.542	6929
1921.625	6936
1921.708	6929
1921.792	6925
1921.875	7051
1921.958	6906
1922.042	6982
1922.125	6990
1922.208	6958
1922.292	6957
1922.375	6854
1922.458	6888
1922.542	6908
1922.625	6908
1922.708	6947
1922.792	7028
1922.875	6925
1922.958	6997
1923.042	6778
1923.125	7072
1923.208	6982
1923.292	7009
1923.375	6879
1923.458	6796
1923.542	6905
1923.625	6920
1923.708	6906
1923.792	7045
1923.875	6973
1923.958	6877
1924.042	7013
1924.125	6899
1924.208	7041
1924.292	6898
1924.375	6973
1924.458	6903
1924.542	6959
1924.625	6950
1924.708	7019
1924.792	7053
1924.875	7038
1924.958	7057
1925.042	6978
1925.125	7033
1925.208	6790
1925.292	6927
1925.375	7002
1925.458	6885
1925.542	6899
1925.625	6972
1925.708	6960
1925.792	7055
1925.875	7058
1925.958	7141
1926.042	7073
1926.125	7083
1926.208	6877
1926.292	6974
1926.375	6978
1926.458	6964
1926.542	6948
1926.625	6967
1926.708	6960
1926.792	7068
1926.875	7191
1926.958	6835
1927.042	6956
1927.125	6946
1927.208	7021
1927.292	6875
1927.375	6938
1927.458	6962
1927.542	7015
1927.625	7031
1927.708	7018
1927.792	7019
1927.875	7055
1927.958	7136
1928.042	6948
1928.125	6903
1928.208	7079
1928.292	7059
1928.375	6965
1928.458	7023
1928.542	6915
1928.625	7007
1928.708	6978
1928.792	7069
1928.875	7038
1928.958	6947
1929.042	6925
1929.125	6975
1929.208	6878
1929.292	6910
1929.375	6948
1929.458	6937
1929.542	6964
1929.625	6938
1929.708	6973
1929.792	7058
1929.875	7093
1929.958	7124
1930.042	7109
1930.125	6939
1930.208	7031
1930.292	6984
1930.375	6926
1930.458	6950
1930.542	6990
1930.625	6999
1930.708	6988
1930.792	7073
1930.875	7097
1930.958	7025
1931.042	6961
1931.125	6862
1931.208	7042
1931.292	6931
1931.375	7035
1931.458	6975
1931.542	7022
1931.625	7033
1931.708	6950
1931.792	6998
1931.875	7155
1931.958	6891
1932.042	7006
1932.125	6852
1932.208	6986
1932.292	6967
1932.375	6983
1932.458	6970
1932.542	6992
1932.625	6990
1932.708	7052
1932.792	7075
1932.875	7024
1932.958	7094
1933.042	6980
1933.125	6951
1933.208	7026
1933.292	6924
1933.375	6965
1933.458	6996
1933.542	6921
1933.625	6969
1933.708	7046
1933.792	7072
1933.875	7042
1933.958	6957
1934.042	6915
1934.125	6746
